id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
158;1LV_all;small;glasso;1;0.078958789;0.007708513;0.159356838;1.811999395;1;0.358870968;0.528189911;0.358870968;0
159;1LV_all;small;glasso;1;0.085355925;0.681667393;4.67E-06;5.029653124;1;0.256048387;0.407704655;0.256048387;0
160;1LV_all;small;glasso;1;0.068479519;0.005862899;3.69E-08;7.131943638;1;0.353830645;0.52271035;0.353830645;0
161;1LV_all;small;glasso;1;0.070807056;0.002863225;0.000793284;2.799541309;1;0.316532258;0.48085758;0.316532258;0
162;1LV_all;small;glasso;1;0.076508764;8.26E-05;0.001819268;3.781989957;1;0.348790323;0.517189836;0.348790323;0
163;1LV_all;small;glasso;1;0.08616814;0.000456172;5.45E-07;5.962573502;1;0.314516129;0.478527607;0.314516129;0
164;1LV_all;small;glasso;1;0.070308127;1.40E-06;1.04E-05;5.552841969;1;0.370967742;0.541176471;0.370967742;0
165;1LV_all;small;glasso;1;0.080490215;0.034126622;0.074989821;1.165876702;1;0.298387097;0.459627329;0.298387097;0
166;1LV_all;small;glasso;1;0.088804657;0.335115012;0.001034157;2.684383528;1;0.33266129;0.49924357;0.33266129;0
167;1LV_all;small;glasso;1;0.063246962;0.070137351;0.080185396;0.853020645;1;0.356854839;0.526002972;0.356854839;0
168;1LV_all;small;glasso;1;0.082815034;0.041548733;0.000236446;3.325238033;1;0.258064516;0.41025641;0.258064516;0
169;1LV_all;small;glasso;1;0.087576414;0.762276094;0.066573615;0.875667864;1;0.29233871;0.452418097;0.29233871;0
170;1LV_all;small;glasso;1;0.07919103;0.004138761;2.37E-09;8.324221658;1;0.278225806;0.43533123;0.278225806;0
171;1LV_all;small;glasso;1;0.072315742;0.505121803;0.000120666;3.617385088;1;0.318548387;0.483180428;0.318548387;0
172;1LV_all;small;glasso;1;0.075576946;0.63477331;5.65E-10;8.946921557;1;0.35483871;0.523809524;0.35483871;0
173;1LV_all;small;glasso;1;0.077470126;1.95E-12;0.002832277;11.40893539;1;0.308467742;0.471494607;0.308467742;0
174;1LV_all;small;glasso;1;0.086366513;0.00052578;0.00733975;2.978165942;1;0.290322581;0.45;0.290322581;0
175;1LV_all;small;glasso;1;0.077691707;1.77E-06;0.034542313;5.450996738;1;0.326612903;0.492401216;0.326612903;0
176;1LV_all;small;glasso;1;0.074541151;0.093772823;1.80E-08;7.443697499;1;0.344758065;0.512743628;0.344758065;0
177;1LV_all;small;glasso;1;0.075226687;2.17E-05;4.03E-06;5.093664958;1;0.33266129;0.49924357;0.33266129;0
178;1LV_all;small;glasso;1;0.081806934;0.000813006;3.42E-08;7.164943898;1;0.344758065;0.512743628;0.344758065;0
179;1LV_all;small;glasso;1;0.071874037;0.047444625;4.91E-05;4.007888512;1;0.278225806;0.43533123;0.278225806;0
180;1LV_all;small;glasso;1;0.072863555;3.39E-06;0.221869384;5.168770306;1;0.338709677;0.506024096;0.338709677;0
181;1LV_all;small;glasso;1;0.076316385;0.9793634;0.003609847;2.141481209;1;0.302419355;0.464396285;0.302419355;0
182;1LV_all;small;glasso;1;0.073126206;0.001475088;2.76E-06;5.258060922;1;0.364919355;0.534711965;0.364919355;0
183;1LV_all;small;glasso;1;0.078544135;6.33E-07;0.000300946;5.897566294;1;0.319556452;0.48433919;0.319556452;0
184;1LV_all;small;glasso;1;0.077576433;0.001493888;1.21E-06;5.616184634;1;0.340725806;0.508270677;0.340725806;0
185;1LV_all;small;glasso;1;0.075903643;7.74E-05;2.17E-06;5.36251027;1;0.300403226;0.462015504;0.300403226;0
186;1LV_all;small;glasso;1;0.093505482;0.000224941;0.000818575;3.346901383;1;0.328629032;0.494688923;0.328629032;0
187;1LV_all;small;glasso;1;0.097365944;0.001426708;0.774679634;2.544634908;1;0.306451613;0.469135802;0.306451613;0
188;1LV_all;small;glasso;1;0.073060764;1.08E-09;1.92E-05;8.665546249;1;0.328629032;0.494688923;0.328629032;0
189;1LV_all;small;glasso;1;0.075364761;0.010440312;0.007306571;1.835256396;1;0.350806452;0.519402985;0.350806452;0
190;1LV_all;small;glasso;1;0.072399492;3.66E-07;0.004789483;6.135488919;1;0.342741935;0.510510511;0.342741935;0
191;1LV_all;small;glasso;1;0.065637757;0.000141522;0.000385838;3.548146047;1;0.344758065;0.512743628;0.344758065;0
192;1LV_all;small;glasso;1;0.067032336;2.87E-09;0.022409778;8.241088108;1;0.342741935;0.510510511;0.342741935;0
193;1LV_all;small;glasso;1;0.071528461;9.54E-07;6.86E-07;5.862645889;1;0.352822581;0.521609538;0.352822581;0
194;1LV_all;small;glasso;1;0.078715668;0.001391387;0.112355721;2.555522063;1;0.336693548;0.503770739;0.336693548;0
195;1LV_all;small;glasso;1;0.070360064;8.17E-08;4.84E-05;6.786747948;1;0.274193548;0.430379747;0.274193548;0
196;1LV_all;small;glasso;1;0.072732389;0.18537964;5.83E-06;4.93330145;1;0.348790323;0.517189836;0.348790323;0
197;1LV_all;small;glasso;1;0.079554483;0.120513554;0.00039198;3.105706096;1;0.284274194;0.442700157;0.284274194;0
198;1LV_all;small;glasso;1;0.075574327;5.07E-09;0.002889722;7.993962045;1;0.221774194;0.363036304;0.221774194;0
199;1LV_all;small;glasso;1;0.076181571;0.000531427;0.000230598;3.336114468;1;0.294354839;0.45482866;0.294354839;0
200;1LV_all;small;glasso;1;0.082297979;4.37E-05;0.030946571;4.058488567;1;0.33266129;0.49924357;0.33266129;0
201;1LV_all;small;gLPCA;1;0.055404835;0.004561257;0.000154968;3.508726664;1;0.375;0.545454545;0.375;0
202;1LV_all;small;gLPCA;1;0.062325744;0.38610451;0.010881;1.662301192;1;0.387096774;0.558139535;0.387096774;0
203;1LV_all;small;gLPCA;1;0.076000327;0.20760207;0.000601337;2.919852259;1;0.469758065;0.639231824;0.469758065;0
204;1LV_all;small;gLPCA;1;0.076071812;0.153171755;0.108662502;0.662890302;1;0.330645161;0.496969697;0.330645161;0
205;1LV_all;small;gLPCA;1;0.087609189;0.370843434;0.003281566;2.182888892;1;0.381048387;0.551824818;0.381048387;0
206;1LV_all;small;gLPCA;1;0.077587386;0.023598913;1.16E-05;4.635421528;1;0.423387097;0.59490085;0.423387097;0
207;1LV_all;small;gLPCA;1;0.057282636;0.003706137;0.016413143;2.130048528;1;0.276209677;0.4328594;0.276209677;0
208;1LV_all;small;gLPCA;1;0.055831445;0.026699635;0.000421717;3.073949008;1;0.377016129;0.547584187;0.377016129;0
