id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
162;1LV_all;small;gLASSO;1;0.083438866;0.095471626;1.11E-05;4.653647026;1;0.449596774;0.620305981;0.449596774;0
163;1LV_all;small;gLASSO;1;0.090698905;1.40E-06;1.11E-16;15.65364703;1;0.404233871;0.575735822;0.404233871;0
164;1LV_all;small;gLASSO;1;0.08079665;0.009228144;5.80E-12;10.93554201;1;0.411290323;0.582857143;0.411290323;0
165;1LV_all;small;gLASSO;1;0.091426875;0.869705955;2.39E-09;8.320572103;1;0.375;0.545454545;0.375;0
166;1LV_all;small;gLASSO;1;0.091577649;4.93E-12;3.55E-15;14.14874165;1;0.413306452;0.584878745;0.413306452;0
167;1LV_all;small;gLASSO;1;0.075501883;1.74E-08;1.78E-14;13.44855;1;0.427419355;0.598870056;0.427419355;0
168;1LV_all;small;gLASSO;1;0.089984579;1.25E-06;5.03E-09;7.997402019;1;0.346774194;0.51497006;0.346774194;0
169;1LV_all;small;gLASSO;1;0.08689465;1.14E-07;3.89E-07;6.642065153;1;0.344758065;0.512743628;0.344758065;0
170;1LV_all;small;gLASSO;1;0.084376491;1.95E-06;2.77E-07;6.256490235;1;0.377016129;0.547584187;0.377016129;0
171;1LV_all;small;gLASSO;1;0.081426099;1.14E-05;0.000208722;4.642065153;1;0.352822581;0.521609538;0.352822581;0
172;1LV_all;small;gLASSO;1;0.087668369;2.85E-12;1.20E-13;12.61978876;1;0.435483871;0.606741573;0.435483871;0
173;1LV_all;small;gLASSO;1;0.085669341;3.25E-07;3.85E-12;11.11350927;1;0.431451613;0.602816901;0.431451613;0
174;1LV_all;small;gLASSO;1;0.087427102;4.01E-09;2.82E-12;11.2487209;1;0.403225806;0.574712644;0.403225806;0
175;1LV_all;small;gLASSO;1;0.087097882;1.87E-05;3.96E-13;12.10127482;1;0.381048387;0.551824818;0.381048387;0
176;1LV_all;small;gLASSO;1;0.080540423;4.82E-13;4.67E-09;12.01592297;1;0.431451613;0.602816901;0.431451613;0
177;1LV_all;small;gLASSO;1;0.083662672;3.55E-15;1.41E-11;14.14874165;1;0.409274194;0.580829757;0.409274194;0
178;1LV_all;small;gLASSO;1;0.095167493;4.11E-15;2.46E-10;14.08512818;1;0.391129032;0.562318841;0.391129032;0
179;1LV_all;small;gLASSO;1;0.081596773;0.034865355;2.24E-08;7.348721986;1;0.380040323;0.550766983;0.380040323;0
180;1LV_all;small;gLASSO;1;0.084713585;3.16E-11;9.22E-09;10.19928292;1;0.397177419;0.568542569;0.397177419;0
181;1LV_all;small;gLASSO;1;0.088374469;0.006139863;1.28E-05;4.591760035;1;0.383064516;0.55393586;0.383064516;0
182;1LV_all;small;gLASSO;1;0.087662339;4.24E-13;1.38E-14;13.55909092;1;0.421370968;0.592907801;0.421370968;0
183;1LV_all;small;gLASSO;1;0.084036745;2.35E-12;2.58E-11;11.32790214;1;0.377016129;0.547584187;0.377016129;0
184;1LV_all;small;gLASSO;1;0.076910262;0.629720346;5.55E-16;14.95467702;1;0.413306452;0.584878745;0.413306452;0
185;1LV_all;small;gLASSO;NA;NA;NA;NA;#NUM!;NA;NA;NA;NA;NA
186;1LV_all;small;gLASSO;1;0.091350753;3.95E-09;3.33E-12;11.17652577;1;0.41733871;0.588904694;0.41733871;0
187;1LV_all;small;gLASSO;1;0.101052946;3.01E-05;0.000929443;4.220403509;1;0.364919355;0.534711965;0.364919355;0
188;1LV_all;small;gLASSO;1;0.080437912;8.81E-10;2.42E-13;12.31515464;1;0.379032258;0.549707602;0.379032258;0
189;1LV_all;small;gLASSO;1;0.083835314;2.22E-16;5.33E-15;15.35261703;1;0.403225806;0.574712644;0.403225806;0
190;1LV_all;small;gLASSO;1;0.080580464;1.58E-13;2.29E-14;13.33913452;1;0.403225806;0.574712644;0.403225806;0
191;1LV_all;small;gLASSO;1;0.083488571;8.03E-09;4.61E-13;12.03526908;1;0.433467742;0.604781997;0.433467742;0
192;1LV_all;small;gLASSO;1;0.079130195;2.36E-11;1.51E-06;10.326058;1;0.401209677;0.572661871;0.401209677;0
193;1LV_all;small;gLASSO;1;0.081043316;0.077284255;4.12E-13;12.08407279;1;0.391129032;0.562318841;0.391129032;0
194;1LV_all;small;gLASSO;1;0.086383638;1.08E-07;3.20E-14;13.19382003;1;0.415322581;0.586894587;0.415322581;0
195;1LV_all;small;gLASSO;1;0.08376558;0.002456218;2.43E-11;10.31336373;1;0.33266129;0.49924357;0.33266129;0
